Coste: 8988 Profundidad de Solucion:335 Profundidad Total: 335Segundos: 0
UMT_X[399675] UMT_Y[4354925] HEIGHT[776.43]
UMT_X[399675] UMT_Y[4354950] HEIGHT[773.02]
UMT_X[399675] UMT_Y[4354975] HEIGHT[772.97]
UMT_X[399675] UMT_Y[4355000] HEIGHT[775.84]
UMT_X[399675] UMT_Y[4355025] HEIGHT[779.91]
UMT_X[399675] UMT_Y[4355050] HEIGHT[784.53]
UMT_X[399675] UMT_Y[4355075] HEIGHT[788.95]
UMT_X[399675] UMT_Y[4355100] HEIGHT[793.78]
UMT_X[399675] UMT_Y[4355125] HEIGHT[800.58]
UMT_X[399675] UMT_Y[4355150] HEIGHT[808.36]
UMT_X[399675] UMT_Y[4355175] HEIGHT[815.4]
UMT_X[399675] UMT_Y[4355200] HEIGHT[822.8]
UMT_X[399675] UMT_Y[4355225] HEIGHT[830.46]
UMT_X[399675] UMT_Y[4355250] HEIGHT[838.17]
UMT_X[399675] UMT_Y[4355275] HEIGHT[846.27]
UMT_X[399675] UMT_Y[4355300] HEIGHT[854.97]
UMT_X[399675] UMT_Y[4355325] HEIGHT[864.01]
UMT_X[399675] UMT_Y[4355350] HEIGHT[873.55]
UMT_X[399675] UMT_Y[4355375] HEIGHT[883.06]
UMT_X[399675] UMT_Y[4355400] HEIGHT[893.1]
UMT_X[399675] UMT_Y[4355425] HEIGHT[903.3]
UMT_X[399675] UMT_Y[4355450] HEIGHT[913.37]
UMT_X[399675] UMT_Y[4355475] HEIGHT[923.14]
UMT_X[399675] UMT_Y[4355500] HEIGHT[933.4]
UMT_X[399675] UMT_Y[4355525] HEIGHT[943.13]
UMT_X[399675] UMT_Y[4355550] HEIGHT[953.92]
UMT_X[399675] UMT_Y[4355575] HEIGHT[963.9]
UMT_X[399675] UMT_Y[4355600] HEIGHT[973.1]
UMT_X[399675] UMT_Y[4355625] HEIGHT[981.82]
UMT_X[399675] UMT_Y[4355650] HEIGHT[990.47]
UMT_X[399675] UMT_Y[4355675] HEIGHT[998.41]
UMT_X[399675] UMT_Y[4355700] HEIGHT[1005.17]
UMT_X[399675] UMT_Y[4355725] HEIGHT[1011.07]
UMT_X[399675] UMT_Y[4355750] HEIGHT[1017.15]
UMT_X[399675] UMT_Y[4355775] HEIGHT[1022.96]
UMT_X[399675] UMT_Y[4355800] HEIGHT[1027.12]
UMT_X[399675] UMT_Y[4355825] HEIGHT[1031.94]
UMT_X[399675] UMT_Y[4355850] HEIGHT[1036.03]
UMT_X[399675] UMT_Y[4355875] HEIGHT[1039.51]
UMT_X[399675] UMT_Y[4355900] HEIGHT[1041.23]
UMT_X[399675] UMT_Y[4355925] HEIGHT[1042.47]
UMT_X[399675] UMT_Y[4355950] HEIGHT[1042.57]
